#id: 1929149134
#name: M.tuberculosis - Whole organism (Integrated)
#score: 14.09
#description: integrated dataset: weighted average of all M.tuberculosis WHOLE_ORGANISM, Interaction consistency score: 14.09, Coverage: 85
#organ: WHOLE_ORGANISM
#integrated: true
#coverage: 85
#publication_year: 2021
#filename: 83332-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
8820425	83332.Rv3018A	481
8819071	83332.Rv1703c	478
8819601	83332.Rv2222c	472
8817806	83332.Rv0469	471
8819919	83332.Rv2524c	467
8818539	83332.Rv1180	465
8821160	83332.Rv3734c	461
8818257	83332.Rv0905	459
8818984	83332.Rv1617	458
8817990	83332.Rv0643c	457
8817667	83332.Rv0333	454
8817890	83332.Rv0548c	453
8817694	83332.Rv0360c	451
8821009	83332.Rv3587c	449
8820033	83332.Rv2634c	448
8818655	83332.Rv1295	445
8821038	83332.Rv3616c	440
8818017	83332.Rv0670	440
8818878	83332.Rv1511	438
8817686	83332.Rv0352	437
8817991	83332.Rv0644c	437
8821037	83332.Rv3615c	436
8817844	83332.Rv0503c	433
8817372	83332.Rv0046c	432
8821145	83332.Rv3720	431
8819239	83332.Rv1871c	428
8819197	83332.Rv1829	426
8821208	83332.Rv3780	423
8817901	83332.Rv0559c	422
8820263	83332.Rv2861c	418
8819871	83332.Rv2476c	418
8817840	83332.Rv0500A	417
8818540	83332.Rv1181	417
8820452	83332.Rv3043c	417
8818320	83332.Rv0968	416
8818223	83332.Rv0871	416
8820968	83332.Rv3547	415
8817566	83332.Rv0234c	414
8820580	83332.Rv3169	412
8819628	83332.Rv2247	410
8818607	83332.Rv1248c	409
8820699	83332.Rv3281	406
8818139	83332.Rv0787A	406
8818162	83332.Rv0810c	404
8818847	83332.Rv1484	401
8819847	83332.Rv2453c	397
8820004	83332.Rv2606c	397
8819578	83332.Rv2200c	395
8818910	83332.Rv1543	395
8817616	83332.Rv0282	394
8818425	83332.Rv1071c	393
8819428	83332.Rv2054	392
8821280	83332.Rv3852	392
8819863	83332.Rv2468c	386
8819882	83332.Rv2487c	386
8817563	83332.Rv0231	384
8820776	83332.Rv3356c	383
8818911	83332.Rv1544	383
8818766	83332.Rv1404	382
8820994	83332.Rv3572	381
8818433	83332.Rv1079	381
8817520	83332.Rv0189c	381
8819798	83332.Rv2406c	381
8819565	83332.Rv2187	381
8819527	83332.Rv2150c	380
8819872	83332.Rv2477c	377
8820509	83332.Rv3099c	376
8820691	83332.Rv3273	376
8818830	83332.Rv1468c	375
8819550	83332.Rv2172c	375
8818582	83332.Rv1223	373
8820831	83332.Rv3410c	373
8820102	83332.Rv2703	372
8817331	83332.Rv0005	371
8817502	83332.Rv0172	371
8817865	83332.Rv0524	369
8821134	83332.Rv3709c	368
8819608	83332.Rv2229c	368
8820322	83332.Rv2919c	367
8820884	83332.Rv3463	366
8819237	83332.Rv1869c	366
8817333	83332.Rv0007	366
8817625	83332.Rv0291	365
8819591	83332.Rv2213	364
8819162	83332.Rv1794	364
8820398	83332.Rv2992c	363
8819470	83332.Rv2094c	362
8817808	83332.Rv0470c	361
8817925	83332.Rv0583c	360
8819641	83332.Rv2259	360
8818696	83332.Rv1335	359
8818846	83332.Rv1483	359
8820713	83332.Rv3295	357
8818979	83332.Rv1612	357
8820075	83332.Rv2676c	355
8819961	83332.Rv2564	354
8818431	83332.Rv1077	353
8818025	83332.Rv0678	352
8820418	83332.Rv3011c	350
8817604	83332.Rv0271c	349
8818354	83332.Rv1001	349
8820178	83332.Rv2778c	348
8817617	83332.Rv0283	347
8819141	83332.Rv1771	345
8819435	83332.Rv2061c	344
8821133	83332.Rv3708c	343
8817761	83332.Rv0426c	342
8820453	83332.Rv3044	342
8820166	83332.Rv2766c	342
8817790	83332.Rv0455c	340
8819449	83332.Rv2074	340
8820550	83332.Rv3139	340
8820821	83332.Rv3400	340
8821253	83332.Rv3825c	340
8819899	83332.Rv2504c	340
8820605	83332.Rv3193c	339
8819620	83332.Rv2239c	337
8818298	83332.Rv0946c	337
