#id: 1492202704
#name: B.subtilis - Whole organism (Integrated)
#score: 13.3
#description: integrated dataset: weighted average of all B.subtilis WHOLE_ORGANISM, Interaction consistency score: 13.3, Coverage: 96
#organ: WHOLE_ORGANISM
#integrated: true
#coverage: 96
#publication_year: 2021
#filename: 224308-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
11135240	224308.BSU06460	1689
11136504	224308.BSU18840	1632
11138166	224308.BSU35150	1596
11136788	224308.BSU21540	1595
11138708	224308.BSU40500	1585
11136561	224308.BSU19360	1558
11135779	224308.BSU11850	1533
11138358	224308.BSU37070	1526
11137706	224308.BSU30650	1512
11136404	224308.BSU17890	1508
11136175	224308.BSU15600	1508
11137180	224308.BSU25400	1501
11137084	224308.BSU24450	1478
11137917	224308.BSU32710	1459
11136383	224308.BSU17690	1419
11136944	224308.BSU23070	1404
11135998	224308.BSU13890	1397
11137074	224308.BSU24350	1392
11138714	224308.BSU40550	1365
11137533	224308.BSU28910	1344
11137870	224308.BSU32260	1334
11134618	224308.BSU00370	1325
11137560	224308.BSU29180	1318
11134630	224308.BSU00490	1316
11138332	224308.BSU36810	1308
11138406	224308.BSU37540	1306
11136029	224308.BSU14180	1297
11138181	224308.BSU35310	1284
11137593	224308.BSU29490	1284
11135471	224308.BSU08790	1273
11136291	224308.BSU16750	1272
11134894	224308.BSU03130	1248
11138550	224308.BSU38960	1226
11134590	224308.BSU00090	1222
11134859	224308.BSU02780	1220
11136065	224308.BSU14540	1207
11138334	224308.BSU36830	1207
11135246	224308.BSU06520	1191
11137474	224308.BSU28300	1190
11134866	224308.BSU02850	1168
11136197	224308.BSU15820	1168
11135735	224308.BSU11430	1157
11137025	224308.BSU23860	1155
11137488	224308.BSU28440	1149
11135762	224308.BSU11690	1148
11137916	224308.BSU32700	1146
11138766	224308.BSU41060	1135
11134872	224308.BSU02910	1135
11136249	224308.BSU16330	1124
11136244	224308.BSU16290	1123
11137471	224308.BSU28270	1119
11138028	224308.BSU33770	1117
11137869	224308.BSU32250	1114
11135928	224308.BSU13230	1114
11134718	224308.BSU01370	1113
11137070	224308.BSU24310	1096
11138469	224308.BSU38170	1093
11134650	224308.BSU00690	1092
11135592	224308.BSU10000	1085
11138418	224308.BSU37660	1083
11138700	224308.BSU40420	1064
11134629	224308.BSU00480	1060
11134924	224308.BSU03420	1055
11137178	224308.BSU25380	1053
11136045	224308.BSU14340	1043
11137621	224308.BSU29770	1040
11136000	224308.BSU13910	1036
11136406	224308.BSU17910	1022
11137544	224308.BSU29020	1016
11136874	224308.BSU22370	1010
11137927	224308.BSU32800	1009
11136843	224308.BSU22070	1009
11136942	224308.BSU23040	992
11136206	224308.BSU15910	990
11136415	224308.BSU18000	986
11134633	224308.BSU00520	983
11135827	224308.BSU12290	978
11137188	224308.BSU25480	964
11137837	224308.BSU31930	959
11135439	224308.BSU08480	956
11136157	224308.BSU15420	956
11137564	224308.BSU29220	955
11135102	224308.BSU05120	946
11135480	224308.BSU08880	935
11137780	224308.BSU31350	930
11134721	224308.BSU01390	924
11134601	224308.BSU00200	911
11136144	224308.BSU15290	892
11136972	224308.BSU23360	887
11135238	224308.BSU06440	885
11137697	224308.BSU30550	858
11134644	224308.BSU00630	858
11137952	224308.BSU33040	847
11137319	224308.BSU26820	846
11135571	224308.BSU09800	844
11134967	224308.BSU03830	837
11137133	224308.BSU24940	830
11136580	224308.BSU19550	816
11137712	224308.BSU30700	811
11134640	224308.BSU00590	800
11137999	224308.BSU33480	795
11138141	224308.BSU34900	794
11135765	224308.BSU11720	792
11136005	224308.BSU13960	789
11136907	224308.BSU22710	788
11135435	224308.BSU08440	785
11136174	224308.BSU15590	785
11134688	224308.BSU01070	783
11135758	224308.BSU11650	782
11137369	224308.BSU27300	770
11137709	224308.BSU30670	768
11136293	224308.BSU16770	766
11137855	224308.BSU32110	762
11135839	224308.BSU12410	759
11135474	224308.BSU08820	758
11135242	224308.BSU06480	757
11135962	224308.BSU13560	755
11136855	224308.BSU22180	754
11137206	224308.BSU25650	751
11136279	224308.BSU16630	747
11136783	224308.BSU21490	744
11137487	224308.BSU28430	743
11138217	224308.BSU35670	723
