#id: 4146582079
#name: E.coli - Whole organism (Integrated)
#score: 24.69
#description: integrated dataset: weighted average of all E.coli WHOLE_ORGANISM, Interaction consistency score: 24.69, Coverage: 99
#organ: WHOLE_ORGANISM
#integrated: true
#coverage: 99
#publication_year: 2021
#filename: 511145-WHOLE_ORGANISM-integrated.txt
#
#internal_id	string_external_id	abundance
15201901	511145.b2904	393
15201570	511145.b2525	392
15201252	511145.b2187	389
15200759	511145.b1651	388
15201346	511145.b2287	388
15200251	511145.b1095	388
15203050	511145.b4174	386
15200037	511145.b0871	386
15202694	511145.b3775	386
15199344	511145.b0098	385
15200922	511145.b1819	383
15201345	511145.b2286	381
15199930	511145.b0763	378
15199473	511145.b0243	378
15202766	511145.b3866	378
15202656	511145.b3727	377
15201375	511145.b2316	376
15201079	511145.b2000	375
15201602	511145.b2557	374
15202498	511145.b3560	374
15199282	511145.b0033	373
15202170	511145.b3204	372
15201974	511145.b2989	372
15202044	511145.b3067	372
15200989	511145.b1886	370
15200990	511145.b1887	369
15203094	511145.b4219	368
15201682	511145.b2661	368
15202492	511145.b3554	368
15199915	511145.b0741	366
15202537	511145.b3600	366
15201777	511145.b2763	366
15199851	511145.b0660	366
15200950	511145.b1847	365
15200721	511145.b1613	365
15199643	511145.b0434	363
15200846	511145.b1743	363
15201347	511145.b2288	362
15201984	511145.b3001	362
15201449	511145.b2400	362
15202358	511145.b3408	361
15200056	511145.b0891	361
15201654	511145.b2617	360
15202373	511145.b3426	358
15201198	511145.b2131	356
15199600	511145.b0389	355
15202894	511145.b4006	354
15200727	511145.b1619	354
15200345	511145.b1197	353
15202193	511145.b3228	352
15202239	511145.b3287	351
15202020	511145.b3042	350
15200257	511145.b1101	348
15200575	511145.b1449	347
15199422	511145.b0179	346
15199647	511145.b0438	346
15202666	511145.b3737	344
15199280	511145.b0031	344
15199728	511145.b0526	343
15201002	511145.b1901	343
15201342	511145.b2283	343
15200720	511145.b1612	342
15202233	511145.b3279	342
15202491	511145.b3553	341
15202124	511145.b3156	339
15202315	511145.b3363	338
15202987	511145.b4107	337
15199730	511145.b0528	335
15203091	511145.b4216	333
15202439	511145.b3498	332
15202175	511145.b3209	332
15201175	511145.b2104	331
15201096	511145.b2019	330
15202919	511145.b4035	329
15199349	511145.b0104	329
15201174	511145.b2103	329
15202752	511145.b3846	327
15202311	511145.b3359	325
15201900	511145.b2903	324
15201888	511145.b2891	323
15202883	511145.b3995	322
15199277	511145.b0028	322
15202446	511145.b3506	322
15200227	511145.b1071	322
15199792	511145.b0598	322
15200265	511145.b1109	317
15202375	511145.b3429	314
15200572	511145.b1446	314
15202658	511145.b3729	314
15202149	511145.b3183	313
15202314	511145.b3362	312
15201614	511145.b2569	312
15200369	511145.b1221	311
15201906	511145.b2909	311
15201993	511145.b3012	310
15200710	511145.b1602	310
15200657	511145.b1541	309
15199968	511145.b0801	309
15201558	511145.b2513	306
15200746	511145.b1638	302
15200409	511145.b1267	302
15199967	511145.b0800	301
15200930	511145.b1827	300
15202199	511145.b3234	299
15203207	511145.b4354	299
15200826	511145.b1723	298
15199597	511145.b0386	298
15201097	511145.b2020	297
15203032	511145.b4153	296
15200005	511145.b0839	296
15202839	511145.b3941	295
15203014	511145.b4135	295
15202764	511145.b3863	294
15201016	511145.b1919	294
15200599	511145.b1479	294
15202217	511145.b3255	293
15201964	511145.b2977	293
15199650	511145.b0441	293
15202940	511145.b4057	292
15200032	511145.b0866	292
15200633	511145.b1517	292
15199265	511145.b0015	290
15200745	511145.b1637	289
15200223	511145.b1067	289
15199398	511145.b0154	289
15201200	511145.b2133	288
15201344	511145.b2285	288
15199449	511145.b0212	287
15201522	511145.b2477	285
15201683	511145.b2662	284
15199800	511145.b0606	284
15203121	511145.b4252	283
15202921	511145.b4037	283
15201008	511145.b1908	282
15202548	511145.b3611	281
15201321	511145.b2262	281
15199897	511145.b0722	280
15200083	511145.b0918	280
15201340	511145.b2281	279
15202452	511145.b3512	279
15202739	511145.b3830	278
15202415	511145.b3472	278
15200082	511145.b0917	278
15202751	511145.b3845	277
15201560	511145.b2515	276
15202627	511145.b3698	275
15202742	511145.b3833	275
15203243	511145.b4393	275
15202157	511145.b3191	275
15199671	511145.b0463	274
15202209	511145.b3244	274
15203055	511145.b4179	272
15200450	511145.b1308	271
15201989	511145.b3008	268
15200205	511145.b1048	268
15200240	511145.b1084	267
15201612	511145.b2567	267
15200852	511145.b1749	266
15200164	511145.b1000	266
15199677	511145.b0469	266
15201104	511145.b2027	266
15201930	511145.b2937	265
15200766	511145.b1658	264
15200351	511145.b1203	263
15201523	511145.b2478	262
15203107	511145.b4235	262
15200819	511145.b1713	262
15203162	511145.b4303	261
15202697	511145.b3780	260
15201561	511145.b2516	260
15200654	511145.b1538	259
15201098	511145.b2021	258
15202881	511145.b3993	257
15200283	511145.b1127	257
15201062	511145.b1973	256
15201389	511145.b2330	256
15201693	511145.b2672	255
15199553	511145.b0337	254
15200755	511145.b1647	254
15202218	511145.b3256	254
15201897	511145.b2900	253
15200711	511145.b1603	253
15199858	511145.b0678	252
15199996	511145.b0830	251
15201556	511145.b2511	250
15202407	511145.b3464	250
15201141	511145.b2065	248
15202223	511145.b3261	248
15201358	511145.b2299	247
15202937	511145.b4054	246
15199885	511145.b0710	246
15200128	511145.b0963	246
15201626	511145.b2581	245
15202859	511145.b3962	244
15201115	511145.b2039	243
15200678	511145.b1564	243
15201638	511145.b2599	242
15202858	511145.b3961	242
15202539	511145.b3602	241
15199976	511145.b0809	240
15202605	511145.b3670	239
15200402	511145.b1259	238
15199638	511145.b0429	238
15200867	511145.b1764	237
15199424	511145.b0181	237
15202374	511145.b3428	235
15201778	511145.b2764	233
15199369	511145.b0125	233
15201931	511145.b2938	232
15199353	511145.b0109	232
15201544	511145.b2499	231
15200416	511145.b1274	231
15201578	511145.b2533	230
15201919	511145.b2924	230
15203123	511145.b4254	230
15201557	511145.b2512	230
15199828	511145.b0637	228
15199823	511145.b0632	227
15199908	511145.b0734	227
15200273	511145.b1117	226
15202029	511145.b3052	226
15202504	511145.b3566	226
15202391	511145.b3448	225
15202167	511145.b3201	223
15200192	511145.b1035	222
15199867	511145.b0687	221
15203009	511145.b4129	220
15201946	511145.b2954	220
15201540	511145.b2495	220
15201911	511145.b2916	220
15202240	511145.b3288	219
15199940	511145.b0773	219
15202376	511145.b3430	219
15199340	511145.b0094	217
15201027	511145.b1930	217
15201440	511145.b2388	217
15200999	511145.b1896	217
15201836	511145.b2827	216
15202014	511145.b3035	216
15200694	511145.b1586	216
15200284	511145.b1128	216
15199315	511145.b0068	216
15202596	511145.b3661	215
15203039	511145.b4160	215
15201178	511145.b2107	215
15201992	511145.b3011	215
15199926	511145.b0759	214
15200512	511145.b1380	214
15199803	511145.b0610	214
15203007	511145.b4127	214
15202893	511145.b4005	213
15201068	511145.b1983	212
15201379	511145.b2320	212
15202719	511145.b3807	212
15201220	511145.b2155	211
15202340	511145.b3390	211
15200335	511145.b1187	210
15200598	511145.b1478	210
15201471	511145.b2426	209
15201792	511145.b2780	208
15201359	511145.b2300	208
15199628	511145.b0419	208
15202837	511145.b3939	208
15203333	511145.b4565	208
15200770	511145.b1662	207
15203033	511145.b4154	207
15199641	511145.b0432	207
15201649	511145.b2610	206
15200691	511145.b1583	206
15200935	511145.b1832	205
