,loc_tag,abundance
451,Rv3295,357
452,Rv1612,357
453,Rv2676c,355
454,Rv2564,354
455,Rv1077,353
456,Rv0678,352
457,Rv3011c,350
458,Rv0271c,349
459,Rv1001,349
460,Rv2778c,348
461,Rv0283,347
462,Rv1771,345
463,Rv2061c,344
464,Rv3708c,343
465,Rv0426c,342
466,Rv3044,342
467,Rv2766c,342
468,Rv0455c,340
469,Rv2074,340
470,Rv3139,340
471,Rv3400,340
472,Rv3825c,340
473,Rv2504c,340
474,Rv3193c,339
475,Rv2239c,337
476,Rv0946c,337
477,Rv1638A,336
478,Rv0889c,336
479,Rv3224B,336
480,Rv3528c,334
481,Rv2005c,333
482,Rv0458,332
483,Rv2629,332
484,Rv0154c,332
485,Rv0562,331
486,Rv3692,331
487,Rv2935,331
488,Rv0489,331
489,Rv2674,330
490,Rv2509,330
491,Rv1091,329
492,Rv2466c,328
493,Rv3710,327
494,Rv2556c,327
495,Rv2753c,327
496,Rv3102c,325
497,Rv3890c,325
498,Rv3009c,325
499,Rv0686,324
500,Rv0443,323
501,Rv3868,323
502,Rv0753c,322
503,Rv0854,320
504,Rv2454c,320
505,Rv2391,319
506,Rv3223c,319
507,Rv0174,319
508,Rv1613,318
509,Rv1906c,317
510,Rv1594,315
511,Rv3127,313
512,Rv2536,313
513,Rv0504c,311
514,Rv3146,311
515,Rv2987c,311
516,Rv2196,311
517,Rv0479c,311
518,Rv2444c,309
519,Rv2373c,309
520,Rv1658,309
521,Rv3519,308
522,Rv2068c,308
523,Rv2032,308
524,Rv2697c,307
525,Rv0474,305
526,Rv2427c,305
527,Rv2615c,305
528,Rv2895c,305
529,Rv2178c,305
530,Rv1435c,304
531,Rv0173,304
532,Rv1875,303
533,Rv2007c,303
534,Rv0411c,301
535,Rv1810,300
536,Rv3143,299
537,Rv3891c,298
538,Rv0227c,297
539,Rv0954,297
540,Rv2691,296
541,Rv3105c,294
542,Rv3917c,294
543,Rv3006,294
544,Rv3150,292
545,Rv0321,292
546,Rv2210c,291
547,Rv0170,291
548,Rv2250A,291
549,Rv3668c,290
550,Rv0774c,290
551,Rv3310,289
552,Rv3010c,288
553,Rv0757,288
554,Rv1192,288
555,Rv2226,287
556,Rv1454c,286
557,Rv0157,286
558,Rv2993c,286
559,Rv2334,286
560,Rv0400c,286
561,Rv1608c,285
562,Rv1920,285
563,Rv3818,283
564,Rv3850,283
565,Rv0281,283
566,Rv0731c,283
567,Rv0120c,282
568,Rv1325c,282
569,Rv2927c,282
570,Rv0331,281
571,Rv3799c,280
572,Rv2858c,279
573,Rv2716,279
574,Rv0993,278
575,Rv0751c,276
576,Rv3368c,276
577,Rv3588c,276
578,Rv1836c,276
579,Rv0464c,276
580,Rv3464,275
581,Rv3570c,275
582,Rv0525,274
583,Rv2535c,274
584,Rv1307,274
585,Rv0284,272
586,Rv1202,272
587,Rv2327,272
588,Rv3388,271
589,Rv1996,270
590,Rv2694c,270
591,Rv2654c,269
592,Rv1856c,268
593,Rv2576c,266
594,Rv1314c,266
595,Rv1463,265
596,Rv3140,265
597,Rv1677,265
598,Rv1340,264
599,Rv2951c,263
600,Rv3264c,263
601,Rv3401,261
602,Rv3240c,261
603,Rv0983,260
604,Rv1443c,260
605,Rv0383c,258
606,Rv0418,257
607,Rv2857c,256
608,Rv2224c,255
609,Rv0638,255
610,Rv0634A,255
611,Rv1416,254
612,Rv3151,253
613,Rv1749c,253
614,Rv1601,252
615,Rv2131c,252
616,Rv1559,252
617,Rv0144,251
618,Rv2939,250
619,Rv0675,250
620,Rv3920c,249
621,Rv3411c,248
622,Rv0688,248
623,Rv1770,248
624,Rv2166c,247
625,Rv1377c,247
626,Rv3304,246
627,Rv0677c,245
628,Rv3318,245
629,Rv1275,245
630,Rv0141c,245
631,Rv2495c,244
632,Rv3205c,244
633,Rv0155,243
634,Rv0788,242
635,Rv0927c,240
636,Rv1821,240
637,Rv1185c,240
638,Rv0390,240
639,Rv1301,239
640,Rv3671c,239
641,Rv0006,239
642,Rv1103c,239
643,Rv0237,239
644,Rv1409,239
645,Rv2416c,238
646,Rv1220c,238
647,Rv1245c,237
648,Rv3913,236
649,Rv0532,236
650,Rv0530,236
651,Rv3141,234
652,Rv2194,234
653,Rv2970c,233
654,Rv0244c,233
655,Rv1107c,232
656,Rv0241c,232
657,Rv1381,232
658,Rv3680,232
659,Rv1676,230
660,Rv1642,229
661,Rv3255c,228
662,Rv0717,228
663,Rv0309,228
664,Rv0180c,228
665,Rv0290,228
666,Rv0546c,227
667,Rv0167,226
668,Rv3614c,225
669,Rv3040c,225
670,Rv1060,224
671,Rv1731,224
672,Rv0357c,224
673,Rv3214,224
674,Rv0759c,224
675,Rv2498c,224
676,Rv3853,223
677,Rv3336c,222
678,Rv0169,221
679,Rv0613c,221
680,Rv3872,221
681,Rv2839c,221
682,Rv0672,221
683,Rv0407,220
684,Rv1109c,219
685,Rv3033,218
686,Rv1832,218
687,Rv3816c,218
688,Rv3755c,218
689,Rv0799c,218
690,Rv3477,216
691,Rv3396c,216
692,Rv2175c,216
693,Rv2959c,215
694,Rv3369,215
695,Rv0398c,215
696,Rv1627c,214
697,Rv2953,214
698,Rv0645c,214
699,Rv2901c,214
700,Rv0008c,213
701,Rv0880,213
702,Rv2216,213
703,Rv1339,212
704,Rv2555c,212
705,Rv0171,212
706,Rv0190,212
707,Rv0898c,210
708,Rv3270,210
709,Rv0466,209
710,Rv1751,209
711,Rv1117,208
712,Rv1398c,207
713,Rv2883c,207
714,Rv3623,206
715,Rv0821c,205
716,Rv1193,205
717,Rv2579,204
718,Rv3012c,204
719,Rv1294,204
720,Rv2672,204
721,Rv2588c,203
722,Rv1334,203
723,Rv1234,203
724,Rv0863,201
725,Rv1599,201
726,Rv3237c,200
727,Rv2271,200
728,Rv2922A,200
729,Rv0933,198
730,Rv3556c,198
731,Rv0512,198
732,Rv3153,197
733,Rv3688c,197
734,Rv1652,196
735,Rv1993c,196
736,Rv2429,195
737,Rv2430c,195
738,Rv1383,194
739,Rv2765,194
740,Rv1379,194
741,Rv0903c,193
742,Rv2845c,193
743,Rv1782,193
744,Rv2129c,192
745,Rv2563,192
746,Rv3340,192
747,Rv0073,192
748,Rv0206c,191
749,Rv0391,191
750,Rv0216,190
751,Rv3791,190
752,Rv0444c,190
753,Rv1445c,189
754,Rv3038c,189
755,Rv0198c,189
756,Rv1880c,189
757,Rv2141c,189
758,Rv3206c,189
759,Rv1780,188
760,Rv2158c,188
761,Rv3154,187
762,Rv2157c,186
763,Rv3276c,185
764,Rv2455c,185
765,Rv0769,184
766,Rv3423c,184
767,Rv2799,183
768,Rv2911,183
769,Rv2198c,182
770,Rv2887,182
771,Rv1654,182
772,Rv0786c,182
773,Rv3058c,181
774,Rv0433,181
775,Rv3147,181
776,Rv3159c,180
777,Rv3854c,180
778,Rv3534c,179
779,Rv2949c,178
780,Rv2357c,178
781,Rv2214c,178
782,Rv3888c,178
783,Rv2161c,178
784,Rv3705c,178
785,Rv0511,178
786,Rv1067c,178
787,Rv0319,176
788,Rv0119,174
789,Rv1400c,174
790,Rv3634c,174
791,Rv2294,174
792,Rv3149,174
793,Rv0439c,174
794,Rv0981,173
