,loc_tag,abundance
873,BSU24460,125
874,BSU02120,125
875,BSU04130,125
876,BSU11520,124
877,BSU36330,124
878,BSU37560,124
879,BSU13210,123
880,BSU37490,123
881,BSU13150,123
882,BSU02330,123
883,BSU02390,122
884,BSU31310,122
885,BSU31460,122
886,BSU09280,122
887,BSU33380,122
888,BSU30210,122
889,BSU25510,122
890,BSU05910,121
891,BSU05660,121
892,BSU30659,121
893,BSU18560,121
894,BSU24090,120
895,BSU29680,120
896,BSU28520,120
897,BSU34870,120
898,BSU17390,120
899,BSU18870,119
900,BSU22390,119
901,BSU34650,119
902,BSU29000,119
903,BSU32030,119
904,BSU24560,118
905,BSU01880,118
906,BSU17940,118
907,BSU14629,118
908,BSU21690,118
909,BSU24250,117
910,BSU27540,117
911,BSU26350,117
912,BSU32200,117
913,BSU23150,117
914,BSU28420,117
915,BSU33620,117
916,BSU09510,117
917,BSU15620,117
918,BSU16430,116
919,BSU29060,116
920,BSU27890,115
921,BSU33680,115
922,BSU11860,115
923,BSU26760,115
924,BSU08350,115
925,BSU09000,114
926,BSU35350,114
927,BSU38560,114
928,BSU18070,114
929,BSU07480,114
930,BSU08390,114
931,BSU06270,114
932,BSU22380,114
933,BSU41030,113
934,BSU00300,113
935,BSU38940,113
936,BSU17010,113
937,BSU13110,112
938,BSU23570,112
939,BSU28400,112
940,BSU15460,112
941,BSU31840,112
942,BSU40960,111
943,BSU23240,111
944,BSU18580,111
945,BSU08730,111
946,BSU33800,110
947,BSU35850,110
948,BSU35380,110
949,BSU17000,110
950,BSU01935,110
951,BSU13680,109
952,BSU15350,109
953,BSU16860,109
954,BSU38500,109
955,BSU32820,109
956,BSU07700,109
957,BSU07990,109
958,BSU25320,108
959,BSU23620,108
960,BSU05280,108
961,BSU28460,108
962,BSU37140,107
963,BSU21900,107
964,BSU27290,106
965,BSU15890,106
966,BSU09020,106
967,BSU10410,106
968,BSU16970,106
969,BSU28350,106
970,BSU27440,106
971,BSU05220,106
972,BSU39870,106
973,BSU39550,105
974,BSU37040,105
975,BSU33120,105
976,BSU22840,105
977,BSU00720,105
978,BSU34390,105
979,BSU35930,105
980,BSU30410,105
981,BSU28200,105
982,BSU04570,105
983,BSU10040,104
984,BSU23680,104
985,BSU35630,104
986,BSU22720,104
987,BSU19620,104
988,BSU10070,103
989,BSU04590,103
990,BSU36630,103
991,BSU24790,103
992,BSU23000,103
993,BSU40140,103
994,BSU27350,103
995,BSU02950,102
996,BSU25290,102
997,BSU39020,102
998,BSU14670,102
999,BSU11440,102
1000,BSU06090,102
1001,BSU17280,102
1002,BSU35500,102
1003,BSU35720,102
1004,BSU33600,102
1005,BSU10370,102
1006,BSU00030,102
1007,BSU22830,102
1008,BSU27600,101
1009,BSU31250,101
1010,BSU13600,100
1011,BSU27400,99
1012,BSU32130,99
1013,BSU25170,99
1014,BSU18630,99
1015,BSU19540,99
1016,BSU08710,98
1017,BSU13130,98
1018,BSU16320,98
1019,BSU31900,98
1020,BSU36520,98
1021,BSU07850,97
