,loc_tag,abundance
531,b3156,339
532,b3363,338
533,b4107,337
534,b0528,335
535,b4216,333
536,b3498,332
537,b3209,332
538,b2104,331
539,b2019,330
540,b4035,329
541,b0104,329
542,b2103,329
543,b3846,327
544,b3359,325
545,b2903,324
546,b2891,323
547,b3995,322
548,b0028,322
549,b3506,322
550,b1071,322
551,b0598,322
552,b1109,317
553,b3429,314
554,b1446,314
555,b3729,314
556,b3183,313
557,b3362,312
558,b2569,312
559,b1221,311
560,b2909,311
561,b3012,310
562,b1602,310
563,b1541,309
564,b0801,309
565,b2513,306
566,b1638,302
567,b1267,302
568,b0800,301
569,b1827,300
570,b3234,299
571,b4354,299
572,b1723,298
573,b0386,298
574,b2020,297
575,b4153,296
576,b0839,296
577,b3941,295
578,b4135,295
579,b3863,294
580,b1919,294
581,b1479,294
582,b3255,293
583,b2977,293
584,b0441,293
585,b4057,292
586,b0866,292
587,b1517,292
588,b0015,290
589,b1637,289
590,b1067,289
591,b0154,289
592,b2133,288
593,b2285,288
594,b0212,287
595,b2477,285
596,b2662,284
597,b0606,284
598,b4252,283
599,b4037,283
600,b1908,282
601,b3611,281
602,b2262,281
603,b0722,280
604,b0918,280
605,b2281,279
606,b3512,279
607,b3830,278
608,b3472,278
609,b0917,278
610,b3845,277
611,b2515,276
612,b3698,275
613,b3833,275
614,b4393,275
615,b3191,275
616,b0463,274
617,b3244,274
618,b4179,272
619,b1308,271
620,b3008,268
621,b1048,268
622,b1084,267
623,b2567,267
624,b1749,266
625,b1000,266
626,b0469,266
627,b2027,266
628,b2937,265
629,b1658,264
630,b1203,263
631,b2478,262
632,b4235,262
633,b1713,262
634,b4303,261
635,b3780,260
636,b2516,260
637,b1538,259
638,b2021,258
639,b3993,257
640,b1127,257
641,b1973,256
642,b2330,256
643,b2672,255
644,b0337,254
645,b1647,254
646,b3256,254
647,b2900,253
648,b1603,253
649,b0678,252
650,b0830,251
651,b2511,250
652,b3464,250
653,b2065,248
654,b3261,248
655,b2299,247
656,b4054,246
657,b0710,246
658,b0963,246
659,b2581,245
660,b3962,244
661,b2039,243
662,b1564,243
663,b2599,242
664,b3961,242
665,b3602,241
666,b0809,240
667,b3670,239
668,b1259,238
669,b0429,238
670,b1764,237
671,b0181,237
672,b3428,235
673,b2764,233
674,b0125,233
675,b2938,232
676,b0109,232
677,b2499,231
678,b1274,231
679,b2533,230
680,b2924,230
681,b4254,230
682,b2512,230
683,b0637,228
684,b0632,227
685,b0734,227
686,b1117,226
687,b3052,226
688,b3566,226
689,b3448,225
690,b3201,223
691,b1035,222
692,b0687,221
693,b4129,220
694,b2954,220
695,b2495,220
696,b2916,220
697,b3288,219
698,b0773,219
699,b3430,219
700,b0094,217
701,b1930,217
702,b2388,217
703,b1896,217
704,b2827,216
705,b3035,216
706,b1586,216
707,b1128,216
708,b0068,216
709,b3661,215
710,b4160,215
711,b2107,215
712,b3011,215
713,b0759,214
714,b1380,214
715,b0610,214
716,b4127,214
717,b4005,213
718,b1983,212
719,b2320,212
720,b3807,212
721,b2155,211
722,b3390,211
723,b1187,210
724,b1478,210
725,b2426,209
726,b2780,208
727,b2300,208
728,b0419,208
729,b3939,208
730,b4565,208
731,b1662,207
732,b4154,207
733,b0432,207
734,b2610,206
735,b1583,206
736,b1832,205
737,b2951,205
738,b0910,204
739,b1748,204
740,b3770,203
741,b4232,203
742,b1133,203
743,b2751,202
744,b3389,202
745,b1849,202
746,b4068,201
747,b2901,201
748,b4108,200
749,b0864,200
750,b1888,200
751,b4041,199
752,b0597,199
753,b4260,199
754,b0595,198
755,b2239,196
756,b3162,196
757,b2905,196
758,b1830,195
759,b0674,194
760,b3599,194
761,b3071,193
762,b2040,193
763,b0177,192
764,b3175,192
765,b0416,192
766,b0927,191
767,b1848,191
768,b2960,191
769,b2741,190
770,b0651,189
771,b3003,189
772,b2668,189
773,b3742,188
774,b1555,188
775,b0931,187
776,b2284,187
777,b3102,186
778,b2790,186
779,b3644,186
780,b2016,186
781,b1412,185
782,b3608,185
783,b3189,185
784,b2168,184
785,b1725,182
786,b3959,182
787,b2022,181
788,b3743,181
789,b1414,180
790,b2893,180
791,b2600,180
792,b1279,180
793,b2762,180
794,b0077,180
795,b0356,179
796,b0820,179
797,b3730,179
798,b3439,179
799,b4113,179
800,b2947,178
801,b0420,178
802,b2595,177
803,b0410,177
804,b3922,177
805,b1232,176
806,b0865,176
807,b2471,176
808,b1955,176
809,b0742,176
810,b0757,176
811,b0422,176
812,b4175,175
813,b1272,175
814,b3388,174
815,b1492,174
816,b2910,173
817,b0296,173
818,b1199,173
819,b1275,173
820,b4518,173
821,b1088,172
822,b2608,172
823,b2303,172
824,b3291,171
825,b3885,171
826,b1487,171
827,b2958,171
828,b0628,170
829,b0908,170
830,b3923,168
831,b3198,168
832,b1876,168
833,b4024,168
834,b1105,167
835,b4554,167
836,b0131,167
837,b3617,167
838,b0481,165
839,b2235,165
840,b1033,164
841,b0658,161
842,b3592,161
843,b3803,161
844,b1928,160
845,b2834,160
846,b3816,160
847,b3744,160
848,b1263,159
849,b1334,158
850,b0480,158
851,b3455,158
852,b3865,157
853,b1262,157
854,b1269,157
855,b0159,156
856,b4013,156
857,b2431,156
858,b0334,155
859,b3945,155
860,b0584,155
861,b3150,154
862,b1430,154
863,b4382,154
864,b0956,154
865,b1042,154
866,b3997,152
867,b3838,151
868,b2673,151
869,b1087,151
870,b0120,151
871,b0394,151
872,b3648,151
873,b3701,151
874,b3210,150
875,b1045,150
876,b0003,150
877,b1329,149
878,b4396,149
879,b4322,149
880,b1738,148
881,b1295,147
882,b0827,147
883,b3417,147
884,b2032,147
885,b2149,147
886,b4375,147
887,b3932,145
888,b1283,145
889,b1780,145
890,b1286,144
891,b0870,144
892,b1727,144
893,b1792,144
894,b0411,143
895,b1043,143
896,b0594,143
897,b2684,143
898,b0573,142
899,b3940,142
900,b3639,142
901,b1623,142
902,b2183,142
903,b4036,141
904,b3960,141
905,b3259,140
906,b0686,140
907,b1536,140
908,b3463,139
909,b2041,139
910,b0189,138
911,b0085,138
912,b3205,138
913,b0966,138
914,b1682,138
915,b2009,137
916,b0586,136
917,b3153,136
918,b0677,135
919,b1557,135
920,b0048,135
921,b0242,135
922,b1946,135
923,b3957,135
924,b1724,133
925,b0783,133
926,b3028,133
927,b0226,133
928,b0451,132
929,b2025,132
930,b0443,132
931,b3087,132
932,b4021,132
933,b2304,131
934,b0381,130
935,b0571,130
936,b0238,130
937,b3999,130
938,b2023,130
939,b4305,129
